supplemental_id,derived_from_case_id,expected_name,lighting,source_rgb,illuminated_rgb,corrected_rgb,predicted_name,correct,color_margin,extraction_status,lighting_quality,valid_fraction,gains_bgr,evidence_class
SUP-COL-BLACK-DAYLIGHT,COL-CONTRACT-BLACK,black,daylight,15-15-15,15-15-15,15-15-15,black,True,0.585065146173246,PARTIAL:InsufficientColorPixelsError,medium,0.6875,1.00000000-1.00000000-1.00000000,SUPPLEMENTAL_SYNTHETIC_NOT_PHYSICAL
SUP-COL-BLACK-NEUTRAL-INDOOR,COL-CONTRACT-BLACK,black,neutral_indoor,15-15-15,14-15-16,14-15-15,black,True,0.5869811201708275,PARTIAL:InsufficientColorPixelsError,medium,1.0,0.99612403-1.00000000-1.00390625,SUPPLEMENTAL_SYNTHETIC_NOT_PHYSICAL
SUP-COL-BLACK-WARM-LOW,COL-CONTRACT-BLACK,black,warm_low,15-15-15,17-13-10,16-13-10,black,True,0.59151727145672,PARTIAL:InsufficientColorPixelsError,medium,1.0,1.01322751-1.00130719-0.98584299,SUPPLEMENTAL_SYNTHETIC_NOT_PHYSICAL
SUP-COL-BLUE-DAYLIGHT,COL-CONTRACT-BLUE,blue,daylight,30-80-220,30-80-220,38-87-167,blue,True,0.108176979626744,COMPLETE,medium,1.0,0.76190476-1.09316770-1.29411765,SUPPLEMENTAL_SYNTHETIC_NOT_PHYSICAL
SUP-COL-BLUE-NEUTRAL-INDOOR,COL-CONTRACT-BLUE,blue,neutral_indoor,30-80-220,28-80-231,28-80-231,blue,True,0.2613793498013069,COMPLETE,good,0.6875,1.00000000-1.00000000-1.00000000,SUPPLEMENTAL_SYNTHETIC_NOT_PHYSICAL
SUP-COL-BLUE-WARM-LOW,COL-CONTRACT-BLUE,blue,warm_low,30-80-220,34-68-143,39-70-120,grey,False,0.05038474399878681,COMPLETE,medium,1.0,0.84069264-1.04408602-1.17270531,SUPPLEMENTAL_SYNTHETIC_NOT_PHYSICAL
SUP-COL-BROWN-DAYLIGHT,COL-CONTRACT-BROWN,brown,daylight,130-70-40,130-70-40,112-72-45,brown,True,0.08589079668480962,COMPLETE,good,1.0,1.14184397-1.03205128-0.86559140,SUPPLEMENTAL_SYNTHETIC_NOT_PHYSICAL
SUP-COL-BROWN-NEUTRAL-INDOOR,COL-CONTRACT-BROWN,brown,neutral_indoor,130-70-40,124-70-42,108-71-47,brown,True,0.02858011967571028,COMPLETE,good,1.0,1.12910798-1.02777778-0.87613843,SUPPLEMENTAL_SYNTHETIC_NOT_PHYSICAL
SUP-COL-BROWN-WARM-LOW,COL-CONTRACT-BROWN,brown,warm_low,130-70-40,150-60-26,122-63-31,brown,True,0.3090955845801264,COMPLETE,medium,1.0,1.19651741-1.06181015-0.81802721,SUPPLEMENTAL_SYNTHETIC_NOT_PHYSICAL
SUP-COL-GREY-DAYLIGHT,COL-CONTRACT-GREY,grey,daylight,128-128-128,128-128-128,128-128-128,grey,True,0.45767983933028644,COMPLETE,good,1.0,1.00000000-1.00000000-1.00000000,SUPPLEMENTAL_SYNTHETIC_NOT_PHYSICAL
