case_ids,name,aggregation,unit,status,value,threshold_id,threshold_result,method
PERF-WEBCAM-GUI-120,processed_fps,single,frames/s,MEASURED,18.497687789026372,demo_floor,NOT_EVALUATED,T09 protocol 1.0.0; contributor raw result summarized at branch tip b5da1c0
PERF-WEBCAM-GUI-120,source_read_to_render_ms,p50,ms,MEASURED,62.0,observation_only,NOT_EVALUATED,T09 protocol 1.0.0; contributor raw result summarized at branch tip b5da1c0
PERF-WEBCAM-GUI-120,source_read_to_render_ms,p95,ms,MEASURED,156.0,observation_only,NOT_EVALUATED,T09 protocol 1.0.0; contributor raw result summarized at branch tip b5da1c0
PERF-WEBCAM-GUI-120,source_read_to_render_slope_ms_per_minute,whole_session,ms/min,MEASURED,-6.965429760462803,observation_only,NOT_EVALUATED,T09 protocol 1.0.0; contributor raw result summarized at branch tip b5da1c0
PERF-WEBCAM-GUI-120,frame_processing_to_render_ms,p50,ms,MEASURED,32.0,observation_only,NOT_EVALUATED,T09 protocol 1.0.0; contributor raw result summarized at branch tip b5da1c0
PERF-WEBCAM-GUI-120,frame_processing_to_render_ms,p95,ms,MEASURED,140.0,observation_only,NOT_EVALUATED,T09 protocol 1.0.0; contributor raw result summarized at branch tip b5da1c0
PERF-WEBCAM-GUI-120,rss_mib,start,MiB,MEASURED,187.12890625,observation_only,NOT_EVALUATED,T09 protocol 1.0.0; contributor raw result summarized at branch tip b5da1c0
PERF-WEBCAM-GUI-120,rss_mib,end,MiB,MEASURED,178.34765625,observation_only,NOT_EVALUATED,T09 protocol 1.0.0; contributor raw result summarized at branch tip b5da1c0
PERF-WEBCAM-GUI-120,rss_mib,peak,MiB,MEASURED,218.8671875,observation_only,NOT_EVALUATED,T09 protocol 1.0.0; contributor raw result summarized at branch tip b5da1c0
PERF-WEBCAM-GUI-120,rss_delta_mib,whole_session,MiB,MEASURED,-8.78125,observation_only,NOT_EVALUATED,T09 protocol 1.0.0; contributor raw result summarized at branch tip b5da1c0
PERF-WEBCAM-GUI-120,rss_slope_mib_per_minute,whole_session,MiB/min,MEASURED,6.900712044036851,observation_only,NOT_EVALUATED,T09 protocol 1.0.0; contributor raw result summarized at branch tip b5da1c0
PERF-WEBCAM-GUI-120,latency_continuous_growth_flag,single,boolean,MEASURED,False,required,PASS,T09 protocol 1.0.0; contributor raw result summarized at branch tip b5da1c0
PERF-WEBCAM-GUI-120,rss_continuous_growth_flag,single,boolean,MEASURED,True,required,FAIL,T09 protocol 1.0.0; contributor raw result summarized at branch tip b5da1c0
PERF-WEBCAM-GUI-120,processed_frame_count,count,frame,MEASURED,2220,must_be_positive,PASS,T09 protocol 1.0.0; contributor raw result summarized at branch tip b5da1c0
PERF-WEBCAM-GUI-120,degraded_frame_rate,single,ratio,MEASURED,0.9355855855855856,observation_only,NOT_EVALUATED,T09 protocol 1.0.0; contributor raw result summarized at branch tip b5da1c0
PERF-WEBCAM-GUI-120,retained_source_read_to_render_sample_count,count,count,MEASURED,2220,no_truncation,PASS,T09 protocol 1.0.0; contributor raw result summarized at branch tip b5da1c0
PERF-WEBCAM-GUI-120,retained_source_read_to_display_submit_sample_count,count,count,MEASURED,2220,no_truncation_gui,PASS,T09 protocol 1.0.0; contributor raw result summarized at branch tip b5da1c0
PERF-WEBCAM-GUI-120,dropped_capture_frame_count,count,frame,MEASURED,1382,observation_only,NOT_EVALUATED,T09 protocol 1.0.0; contributor raw result summarized at branch tip b5da1c0
PERF-WEBCAM-GUI-120,source_read_to_display_submit_ms,p50,ms,MEASURED,62.0,demo_floor_p50,NOT_EVALUATED,T09 protocol 1.0.0; contributor raw result summarized at branch tip b5da1c0
PERF-WEBCAM-GUI-120,source_read_to_display_submit_ms,p95,ms,MEASURED,156.0,,NOT_EVALUATED,T09 protocol 1.0.0; contributor raw result summarized at branch tip b5da1c0
