case_id,fixture_id,status,lighting,expected_level1,expected_level2,observed_level1,observed_level2,display_label_vi,margin,uncertain,reason
PM-COLOR-CONTRACT-BLACK,extended-black,COMPLETE,digital,black,black,black,black,Đen,1.000000000,false,deterministic anchor contract
PM-COLOR-CONTRACT-DIM-GRAY,extended-dim_gray,COMPLETE,digital,grey,dim_gray,grey,dim_gray,Đen nhạt,0.687971743,false,deterministic anchor contract
PM-COLOR-CONTRACT-BLUE,extended-blue,COMPLETE,digital,blue,blue,blue,blue,Xanh dương,0.999972391,false,deterministic anchor contract
PM-COLOR-CONTRACT-NAVY,extended-navy,COMPLETE,digital,blue,navy,blue,navy,Xanh hải quân,0.889368092,false,deterministic anchor contract
PM-COLOR-CONTRACT-CYAN,extended-cyan,COMPLETE,digital,blue,cyan,blue,cyan,Lục lam,0.998048192,false,deterministic anchor contract
PM-COLOR-CONTRACT-SKY-BLUE,extended-sky_blue,COMPLETE,digital,blue,sky_blue,blue,sky_blue,Xanh da trời,0.816760797,false,deterministic anchor contract
PM-COLOR-CONTRACT-ROYAL-BLUE,extended-royal_blue,COMPLETE,digital,blue,royal_blue,blue,royal_blue,Xanh hoàng gia,0.998892370,false,deterministic anchor contract
PM-COLOR-CONTRACT-LIGHT-BLUE,extended-light_blue,COMPLETE,digital,blue,light_blue,blue,light_blue,Xanh lam nhạt,0.816937711,false,deterministic anchor contract
PM-COLOR-CONTRACT-BROWN,extended-brown,COMPLETE,digital,brown,brown,brown,brown,Nâu,0.882110358,false,deterministic anchor contract
PM-COLOR-CONTRACT-DARK-BROWN,extended-dark_brown,COMPLETE,digital,brown,dark_brown,brown,dark_brown,Nâu sẫm,0.968046481,false,deterministic anchor contract
PM-COLOR-CONTRACT-PERU,extended-peru,COMPLETE,digital,brown,peru,brown,peru,Da bò,0.815605453,false,deterministic anchor contract
PM-COLOR-CONTRACT-CHOCOLATE,extended-chocolate,COMPLETE,digital,brown,chocolate,brown,chocolate,Sô-cô-la,0.900071568,false,deterministic anchor contract
PM-COLOR-CONTRACT-SANDY-BROWN,extended-sandy_brown,COMPLETE,digital,brown,sandy_brown,brown,sandy_brown,Nâu nhạt,0.829900209,false,deterministic anchor contract
PM-COLOR-CONTRACT-DARK-KHAKI,extended-dark_khaki,COMPLETE,digital,yellow,dark_khaki,yellow,dark_khaki,Kaki đậm,0.943981575,false,deterministic anchor contract
PM-COLOR-CONTRACT-GREY,extended-grey,COMPLETE,digital,grey,grey,grey,grey,Xám,0.637777298,false,deterministic anchor contract
PM-COLOR-CONTRACT-LIGHT-GREY,extended-light_grey,COMPLETE,digital,grey,light_grey,grey,light_grey,Xám nhạt,0.570679994,false,deterministic anchor contract
PM-COLOR-CONTRACT-ASH-GREY,extended-ash_grey,COMPLETE,digital,grey,ash_grey,grey,ash_grey,Xám tro,0.512416274,false,deterministic anchor contract
PM-COLOR-CONTRACT-SILVER,extended-silver,COMPLETE,digital,grey,silver,grey,silver,Bạc,0.624845064,false,deterministic anchor contract
PM-COLOR-CONTRACT-SLATE-GREY,extended-slate_grey,COMPLETE,digital,grey,slate_grey,grey,slate_grey,Ghi,0.733751633,false,deterministic anchor contract
PM-COLOR-CONTRACT-GREEN,extended-green,COMPLETE,digital,green,green,green,green,Xanh lá,0.996189995,false,deterministic anchor contract
PM-COLOR-CONTRACT-LIME,extended-lime,COMPLETE,digital,green,lime,green,lime,Xanh lá mạ,0.999993370,false,deterministic anchor contract
PM-COLOR-CONTRACT-OLIVE,extended-olive,COMPLETE,digital,brown,olive,brown,olive,Xanh ô liu,0.998329224,false,deterministic anchor contract
PM-COLOR-CONTRACT-TEAL,extended-teal,COMPLETE,digital,grey,teal,grey,teal,Xanh mòng két,0.985634783,false,deterministic anchor contract
PM-COLOR-CONTRACT-SEA-GREEN,extended-sea_green,COMPLETE,digital,green,sea_green,green,sea_green,Xanh ngọc,0.996144745,false,deterministic anchor contract
PM-COLOR-CONTRACT-MOSS-GREEN,extended-moss_green,COMPLETE,digital,green,moss_green,green,moss_green,Xanh rêu,0.998541058,false,deterministic anchor contract
PM-COLOR-CONTRACT-ORANGE,extended-orange,COMPLETE,digital,orange,orange,orange,orange,Cam,0.892613380,false,deterministic anchor contract
PM-COLOR-CONTRACT-DARK-ORANGE,extended-dark_orange,COMPLETE,digital,orange,dark_orange,orange,dark_orange,Cam đậm,0.892613380,false,deterministic anchor contract
PM-COLOR-CONTRACT-PEACH,extended-peach,COMPLETE,digital,white,peach,white,peach,Cam đào,0.879054086,false,deterministic anchor contract
PM-COLOR-CONTRACT-CORAL,extended-coral,COMPLETE,digital,brown,coral,brown,coral,San hô,0.915125798,false,deterministic anchor contract
PM-COLOR-CONTRACT-PINK,extended-pink,COMPLETE,digital,pink,pink,pink,pink,Hồng,0.452581620,false,deterministic anchor contract
PM-COLOR-CONTRACT-DEEP-PINK,extended-deep_pink,COMPLETE,digital,pink,deep_pink,pink,deep_pink,Hồng đậm,0.979223519,false,deterministic anchor contract
PM-COLOR-CONTRACT-HOT-PINK,extended-hot_pink,COMPLETE,digital,pink,hot_pink,pink,hot_pink,Hồng cánh sen,0.978940174,false,deterministic anchor contract
PM-COLOR-CONTRACT-LIGHT-PINK,extended-light_pink,COMPLETE,digital,pink,light_pink,pink,light_pink,Hồng nhạt,0.452546641,false,deterministic anchor contract
PM-COLOR-CONTRACT-PURPLE,extended-purple,COMPLETE,digital,purple,purple,purple,purple,Tím,0.988974023,false,deterministic anchor contract
PM-COLOR-CONTRACT-INDIGO,extended-indigo,COMPLETE,digital,blue,indigo,blue,indigo,Tím than,0.889280529,false,deterministic anchor contract
PM-COLOR-CONTRACT-VIOLET,extended-violet,COMPLETE,digital,purple,violet,purple,violet,Tím nhạt,0.960144464,false,deterministic anchor contract
PM-COLOR-CONTRACT-MAGENTA,extended-magenta,COMPLETE,digital,purple,magenta,purple,magenta,Hồng sẫm,0.999480019,false,deterministic anchor contract
PM-COLOR-CONTRACT-ORCHID,extended-orchid,COMPLETE,digital,purple,orchid,purple,orchid,Tím hoa cà,0.955273883,false,deterministic anchor contract
PM-COLOR-CONTRACT-RED,extended-red,COMPLETE,digital,red,red,red,red,Đỏ,0.998031044,false,deterministic anchor contract
PM-COLOR-CONTRACT-MAROON,extended-maroon,COMPLETE,digital,brown,maroon,brown,maroon,Đỏ tía,0.882702903,false,deterministic anchor contract
PM-COLOR-CONTRACT-FIREBRICK,extended-firebrick,COMPLETE,digital,red,firebrick,red,firebrick,Đỏ gạch,0.939554406,false,deterministic anchor contract
PM-COLOR-CONTRACT-CRIMSON,extended-crimson,COMPLETE,digital,red,crimson,red,crimson,Đỏ thẫm,0.939050192,false,deterministic anchor contract
PM-COLOR-CONTRACT-WHITE,extended-white,COMPLETE,digital,white,white,white,white,Trắng,0.284553777,false,deterministic anchor contract
PM-COLOR-CONTRACT-IVORY,extended-ivory,COMPLETE,digital,white,ivory,white,ivory,Trắng ngà,0.375068166,false,deterministic anchor contract
PM-COLOR-CONTRACT-WHITE-SMOKE,extended-white_smoke,COMPLETE,digital,white,white_smoke,white,white_smoke,Trắng khói,0.287007226,false,deterministic anchor contract
PM-COLOR-CONTRACT-BEIGE,extended-beige,COMPLETE,digital,white,beige,white,beige,Be,0.328025014,false,deterministic anchor contract
